c_TipoDoc;c_NumeroD;d_Fecha;c_CodClie;c_CodArt;c_Descri;n_Cantidad;n_Precio;n_CostoAct
FAC;000278;05/02/2026;C-09;P-006;PRODUCTO ESTACIONAL DETENIDO;5;210,00;140,00
FAC;000279;06/02/2026;C-10;P-001;PRODUCTO RENTABLE;8;180,00;95,00
FAC;000280;06/02/2026;C-11;P-003;PRODUCTO CON MARGEN BAJO;9;105,00;100,00
FAC;000281;06/02/2026;C-12;P-004;PRODUCTO POR AGOTARSE;11;160,00;105,00
FAC;000282;06/02/2026;C-13;P-006;PRODUCTO ESTACIONAL DETENIDO;6;210,00;140,00
FAC;000283;07/02/2026;C-14;P-001;PRODUCTO RENTABLE;3;180,00;95,00
FAC;000284;07/02/2026;C-15;P-003;PRODUCTO CON MARGEN BAJO;5;105,00;100,00
FAC;000285;07/02/2026;C-16;P-004;PRODUCTO POR AGOTARSE;9;160,00;105,00
FAC;000286;07/02/2026;C-17;P-006;PRODUCTO ESTACIONAL DETENIDO;2;210,00;140,00
FAC;000287;08/02/2026;C-18;P-001;PRODUCTO RENTABLE;2;180,00;95,00
FAC;000288;08/02/2026;C-01;P-003;PRODUCTO CON MARGEN BAJO;4;105,00;100,00
FAC;000289;08/02/2026;C-02;P-004;PRODUCTO POR AGOTARSE;7;160,00;105,00
FAC;000290;08/02/2026;C-03;P-006;PRODUCTO ESTACIONAL DETENIDO;1;210,00;140,00
FAC;000291;09/02/2026;C-04;P-001;PRODUCTO RENTABLE;5;180,00;95,00
PRE;000292;09/02/2026;C-05;P-003;PRODUCTO CON MARGEN BAJO;8;105,00;100,00
FAC;000293;09/02/2026;C-06;P-004;PRODUCTO POR AGOTARSE;7;160,00;105,00
FAC;000294;09/02/2026;C-07;P-006;PRODUCTO ESTACIONAL DETENIDO;3;210,00;140,00
FAC;000295;10/02/2026;C-08;P-001;PRODUCTO RENTABLE;6;180,00;95,00
FAC;000296;10/02/2026;C-09;P-003;PRODUCTO CON MARGEN BAJO;10;105,00;100,00
FAC;000297;10/02/2026;C-10;P-004;PRODUCTO POR AGOTARSE;8;160,00;105,00
FAC;000298;10/02/2026;C-11;P-006;PRODUCTO ESTACIONAL DETENIDO;4;210,00;140,00
FAC;000299;11/02/2026;C-12;P-001;PRODUCTO RENTABLE;6;180,00;95,00
FAC;000300;11/02/2026;C-13;P-003;PRODUCTO CON MARGEN BAJO;7;105,00;100,00
N/C;000301;11/02/2026;C-14;P-004;PRODUCTO POR AGOTARSE;9;160,00;105,00
FAC;000302;11/02/2026;C-15;P-006;PRODUCTO ESTACIONAL DETENIDO;4;210,00;140,00
FAC;000303;12/02/2026;C-16;P-001;PRODUCTO RENTABLE;7;180,00;95,00
FAC;000304;12/02/2026;C-17;P-003;PRODUCTO CON MARGEN BAJO;7;105,00;100,00
FAC;000305;12/02/2026;C-18;P-004;PRODUCTO POR AGOTARSE;20;160,00;105,00
FAC;000306;12/02/2026;C-01;P-006;PRODUCTO ESTACIONAL DETENIDO;5;210,00;140,00
FAC;000307;13/02/2026;C-02;P-001;PRODUCTO RENTABLE;9;180,00;95,00
FAC;000308;13/02/2026;C-03;P-003;PRODUCTO CON MARGEN BAJO;9;105,00;100,00
FAC;000309;13/02/2026;C-04;P-004;PRODUCTO POR AGOTARSE;22;160,00;105,00
FAC;000310;13/02/2026;C-05;P-006;PRODUCTO ESTACIONAL DETENIDO;6;210,00;140,00
FAC;000311;14/02/2026;C-06;P-001;PRODUCTO RENTABLE;4;180,00;95,00
FAC;000312;14/02/2026;C-07;P-003;PRODUCTO CON MARGEN BAJO;5;105,00;100,00
FAC;000313;14/02/2026;C-08;P-004;PRODUCTO POR AGOTARSE;20;160,00;105,00
FAC;000314;14/02/2026;C-09;P-006;PRODUCTO ESTACIONAL DETENIDO;2;210,00;140,00
FAC;000315;15/02/2026;C-10;P-001;PRODUCTO RENTABLE;3;180,00;95,00
FAC;000316;15/02/2026;C-11;P-002;PRODUCTO SOBREABASTECIDO;2;250,00;170,00
FAC;000317;15/02/2026;C-12;P-003;PRODUCTO CON MARGEN BAJO;4;105,00;100,00
FAC;000318;15/02/2026;C-13;P-004;PRODUCTO POR AGOTARSE;8;160,00;105,00
FAC;000319;15/02/2026;C-14;P-006;PRODUCTO ESTACIONAL DETENIDO;1;210,00;140,00
FAC;000320;16/02/2026;C-15;P-001;PRODUCTO RENTABLE;5;180,00;95,00
FAC;000321;16/02/2026;C-16;P-003;PRODUCTO CON MARGEN BAJO;8;105,00;100,00
FAC;000322;16/02/2026;C-17;P-004;PRODUCTO POR AGOTARSE;7;160,00;105,00
FAC;000323;16/02/2026;C-18;P-006;PRODUCTO ESTACIONAL DETENIDO;3;210,00;140,00
FAC;000324;17/02/2026;C-01;P-001;PRODUCTO RENTABLE;6;180,00;95,00
FAC;000325;17/02/2026;C-02;P-002;PRODUCTO SOBREABASTECIDO;1;250,00;170,00
FAC;000326;17/02/2026;C-03;P-003;PRODUCTO CON MARGEN BAJO;8;105,00;100,00
FAC;000327;17/02/2026;C-04;P-004;PRODUCTO POR AGOTARSE;8;160,00;105,00
FAC;000328;17/02/2026;C-05;P-006;PRODUCTO ESTACIONAL DETENIDO;4;210,00;140,00
FAC;000329;18/02/2026;C-06;P-001;PRODUCTO RENTABLE;6;180,00;95,00
FAC;000330;18/02/2026;C-07;P-003;PRODUCTO CON MARGEN BAJO;7;105,00;100,00
FAC;000331;18/02/2026;C-08;P-004;PRODUCTO POR AGOTARSE;9;160,00;105,00
FAC;000332;18/02/2026;C-09;P-006;PRODUCTO ESTACIONAL DETENIDO;4;210,00;140,00
FAC;000333;19/02/2026;C-10;P-001;PRODUCTO RENTABLE;7;180,00;95,00
FAC;000334;19/02/2026;C-11;P-003;PRODUCTO CON MARGEN BAJO;7;105,00;100,00
FAC;000335;19/02/2026;C-12;P-004;PRODUCTO POR AGOTARSE;10;160,00;105,00
FAC;000336;19/02/2026;C-13;P-006;PRODUCTO ESTACIONAL DETENIDO;5;210,00;140,00
FAC;000337;20/02/2026;C-14;P-001;PRODUCTO RENTABLE;16;180,00;95,00
FAC;000338;20/02/2026;C-15;P-003;PRODUCTO CON MARGEN BAJO;9;105,00;100,00
FAC;000339;20/02/2026;C-16;P-004;PRODUCTO POR AGOTARSE;12;160,00;105,00
FAC;000340;20/02/2026;C-17;P-006;PRODUCTO ESTACIONAL DETENIDO;6;210,00;140,00
FAC;000341;21/02/2026;C-18;P-001;PRODUCTO RENTABLE;4;180,00;95,00
FAC;000342;21/02/2026;C-01;P-003;PRODUCTO CON MARGEN BAJO;5;105,00;100,00
FAC;000343;21/02/2026;C-02;P-004;PRODUCTO POR AGOTARSE;10;160,00;105,00
FAC;000344;21/02/2026;C-03;P-006;PRODUCTO ESTACIONAL DETENIDO;2;210,00;140,00
FAC;000345;22/02/2026;C-04;P-001;PRODUCTO RENTABLE;3;180,00;95,00
FAC;000346;22/02/2026;C-05;P-003;PRODUCTO CON MARGEN BAJO;4;105,00;100,00
FAC;000347;22/02/2026;C-06;P-004;PRODUCTO POR AGOTARSE;8;160,00;105,00
FAC;000348;22/02/2026;C-07;P-006;PRODUCTO ESTACIONAL DETENIDO;1;210,00;140,00
FAC;000349;23/02/2026;C-08;P-001;PRODUCTO RENTABLE;5;180,00;95,00
FAC;000350;23/02/2026;C-09;P-003;PRODUCTO CON MARGEN BAJO;8;105,00;100,00
FAC;000351;23/02/2026;C-10;P-004;PRODUCTO POR AGOTARSE;7;160,00;105,00
FAC;000352;23/02/2026;C-11;P-006;PRODUCTO ESTACIONAL DETENIDO;3;210,00;140,00
FAC;000353;24/02/2026;C-12;P-001;PRODUCTO RENTABLE;6;180,00;95,00
FAC;000354;24/02/2026;C-13;P-003;PRODUCTO CON MARGEN BAJO;8;105,00;100,00
FAC;000355;24/02/2026;C-14;P-004;PRODUCTO POR AGOTARSE;8;160,00;105,00
FAC;000356;24/02/2026;C-15;P-006;PRODUCTO ESTACIONAL DETENIDO;4;210,00;140,00
FAC;000357;25/02/2026;C-16;P-001;PRODUCTO RENTABLE;6;180,00;95,00
FAC;000358;25/02/2026;C-17;P-003;PRODUCTO CON MARGEN BAJO;9;105,00;100,00
FAC;000359;25/02/2026;C-18;P-004;PRODUCTO POR AGOTARSE;9;160,00;105,00
FAC;000360;25/02/2026;C-01;P-006;PRODUCTO ESTACIONAL DETENIDO;4;210,00;140,00
N/C;000361;26/02/2026;C-02;P-001;PRODUCTO RENTABLE;7;180,00;95,00
FAC;000362;26/02/2026;C-03;P-003;PRODUCTO CON MARGEN BAJO;7;105,00;100,00
FAC;000363;26/02/2026;C-04;P-004;PRODUCTO POR AGOTARSE;10;160,00;105,00
FAC;000364;26/02/2026;C-05;P-006;PRODUCTO ESTACIONAL DETENIDO;5;210,00;140,00
FAC;000365;27/02/2026;C-06;P-001;PRODUCTO RENTABLE;9;180,00;95,00
FAC;000366;27/02/2026;C-07;P-003;PRODUCTO CON MARGEN BAJO;9;105,00;100,00
FAC;000367;27/02/2026;C-08;P-004;PRODUCTO POR AGOTARSE;12;160,00;105,00
FAC;000368;27/02/2026;C-09;P-006;PRODUCTO ESTACIONAL DETENIDO;6;210,00;140,00
FAC;000369;28/02/2026;C-10;P-001;PRODUCTO RENTABLE;4;180,00;95,00
FAC;000370;28/02/2026;C-11;P-003;PRODUCTO CON MARGEN BAJO;5;105,00;100,00
FAC;000371;28/02/2026;C-12;P-004;PRODUCTO POR AGOTARSE;10;160,00;105,00
FAC;000372;28/02/2026;C-13;P-006;PRODUCTO ESTACIONAL DETENIDO;2;210,00;140,00
FAC;000373;01/03/2026;C-14;P-001;PRODUCTO RENTABLE;3;180,00;95,00
FAC;000374;01/03/2026;C-15;P-002;PRODUCTO SOBREABASTECIDO;2;250,00;170,00
FAC;000375;01/03/2026;C-16;P-003;PRODUCTO CON MARGEN BAJO;4;105,00;100,00
FAC;000376;01/03/2026;C-17;P-004;PRODUCTO POR AGOTARSE;8;160,00;105,00
FAC;000377;01/03/2026;C-18;P-006;PRODUCTO ESTACIONAL DETENIDO;1;210,00;140,00
FAC;000378;02/03/2026;C-01;P-001;PRODUCTO RENTABLE;5;180,00;95,00
FAC;000379;02/03/2026;C-02;P-002;PRODUCTO SOBREABASTECIDO;1;250,00;170,00
FAC;000380;02/03/2026;C-03;P-003;PRODUCTO CON MARGEN BAJO;8;105,00;100,00
FAC;000381;02/03/2026;C-04;P-004;PRODUCTO POR AGOTARSE;7;160,00;105,00
FAC;000382;02/03/2026;C-05;P-006;PRODUCTO ESTACIONAL DETENIDO;3;210,00;140,00
FAC;000383;03/03/2026;C-06;P-001;PRODUCTO RENTABLE;6;180,00;95,00
FAC;000384;03/03/2026;C-07;P-003;PRODUCTO CON MARGEN BAJO;8;105,00;100,00
FAC;000385;03/03/2026;C-08;P-004;PRODUCTO POR AGOTARSE;8;160,00;105,00
FAC;000386;03/03/2026;C-09;P-006;PRODUCTO ESTACIONAL DETENIDO;4;210,00;140,00
FAC;000387;04/03/2026;C-10;P-001;PRODUCTO RENTABLE;6;180,00;95,00
FAC;000388;04/03/2026;C-11;P-003;PRODUCTO CON MARGEN BAJO;7;105,00;100,00
PRE;000389;04/03/2026;C-12;P-004;PRODUCTO POR AGOTARSE;9;160,00;105,00
FAC;000390;05/03/2026;C-13;P-001;PRODUCTO RENTABLE;14;180,00;95,00
FAC;000391;05/03/2026;C-14;P-003;PRODUCTO CON MARGEN BAJO;7;105,00;100,00
FAC;000392;05/03/2026;C-15;P-004;PRODUCTO POR AGOTARSE;10;160,00;105,00
FAC;000393;06/03/2026;C-16;P-001;PRODUCTO RENTABLE;9;180,00;95,00
FAC;000394;06/03/2026;C-17;P-003;PRODUCTO CON MARGEN BAJO;9;105,00;100,00
FAC;000395;06/03/2026;C-18;P-004;PRODUCTO POR AGOTARSE;12;160,00;105,00
FAC;000396;07/03/2026;C-01;P-001;PRODUCTO RENTABLE;4;180,00;95,00
FAC;000397;07/03/2026;C-02;P-003;PRODUCTO CON MARGEN BAJO;5;105,00;100,00
FAC;000398;07/03/2026;C-03;P-004;PRODUCTO POR AGOTARSE;10;160,00;105,00
FAC;000399;08/03/2026;C-04;P-001;PRODUCTO RENTABLE;3;180,00;95,00
FAC;000400;08/03/2026;C-05;P-003;PRODUCTO CON MARGEN BAJO;4;105,00;100,00
FAC;000401;08/03/2026;C-06;P-004;PRODUCTO POR AGOTARSE;8;160,00;105,00
FAC;000402;09/03/2026;C-07;P-001;PRODUCTO RENTABLE;5;180,00;95,00
FAC;000403;09/03/2026;C-08;P-003;PRODUCTO CON MARGEN BAJO;8;105,00;100,00
FAC;000404;09/03/2026;C-09;P-004;PRODUCTO POR AGOTARSE;7;160,00;105,00
FAC;000405;10/03/2026;C-10;P-001;PRODUCTO RENTABLE;6;180,00;95,00
FAC;000406;10/03/2026;C-11;P-003;PRODUCTO CON MARGEN BAJO;10;105,00;100,00
FAC;000407;10/03/2026;C-12;P-004;PRODUCTO POR AGOTARSE;8;160,00;105,00
FAC;000408;11/03/2026;C-13;P-001;PRODUCTO RENTABLE;6;180,00;95,00
FAC;000409;11/03/2026;C-14;P-003;PRODUCTO CON MARGEN BAJO;7;105,00;100,00
FAC;000410;11/03/2026;C-15;P-004;PRODUCTO POR AGOTARSE;9;160,00;105,00
FAC;000411;12/03/2026;C-16;P-001;PRODUCTO RENTABLE;7;180,00;95,00
FAC;000412;12/03/2026;C-17;P-003;PRODUCTO CON MARGEN BAJO;7;105,00;100,00
FAC;000413;12/03/2026;C-18;P-004;PRODUCTO POR AGOTARSE;20;160,00;105,00
FAC;000414;13/03/2026;C-01;P-001;PRODUCTO RENTABLE;9;180,00;95,00
FAC;000415;13/03/2026;C-02;P-003;PRODUCTO CON MARGEN BAJO;9;105,00;100,00
FAC;000416;13/03/2026;C-03;P-004;PRODUCTO POR AGOTARSE;22;160,00;105,00
FAC;000417;14/03/2026;C-04;P-001;PRODUCTO RENTABLE;4;180,00;95,00
FAC;000418;14/03/2026;C-05;P-003;PRODUCTO CON MARGEN BAJO;5;105,00;100,00
FAC;000419;14/03/2026;C-06;P-004;PRODUCTO POR AGOTARSE;20;160,00;105,00
FAC;000420;15/03/2026;C-07;P-001;PRODUCTO RENTABLE;3;180,00;95,00
N/C;000421;15/03/2026;C-08;P-002;PRODUCTO SOBREABASTECIDO;2;250,00;170,00
FAC;000422;15/03/2026;C-09;P-003;PRODUCTO CON MARGEN BAJO;4;105,00;100,00
FAC;000423;15/03/2026;C-10;P-004;PRODUCTO POR AGOTARSE;8;160,00;105,00
FAC;000424;16/03/2026;C-11;P-001;PRODUCTO RENTABLE;5;180,00;95,00
FAC;000425;16/03/2026;C-12;P-003;PRODUCTO CON MARGEN BAJO;8;105,00;100,00
FAC;000426;16/03/2026;C-13;P-004;PRODUCTO POR AGOTARSE;8;160,00;105,00
FAC;000427;17/03/2026;C-14;P-001;PRODUCTO RENTABLE;6;180,00;95,00
FAC;000428;17/03/2026;C-15;P-003;PRODUCTO CON MARGEN BAJO;8;105,00;100,00
FAC;000429;17/03/2026;C-16;P-004;PRODUCTO POR AGOTARSE;9;160,00;105,00
FAC;000430;18/03/2026;C-17;P-001;PRODUCTO RENTABLE;6;180,00;95,00
FAC;000431;18/03/2026;C-18;P-003;PRODUCTO CON MARGEN BAJO;7;105,00;100,00
FAC;000432;18/03/2026;C-01;P-004;PRODUCTO POR AGOTARSE;10;160,00;105,00
FAC;000433;19/03/2026;C-02;P-001;PRODUCTO RENTABLE;7;180,00;95,00
FAC;000434;19/03/2026;C-03;P-003;PRODUCTO CON MARGEN BAJO;7;105,00;100,00
FAC;000435;19/03/2026;C-04;P-004;PRODUCTO POR AGOTARSE;11;160,00;105,00
FAC;000436;20/03/2026;C-05;P-001;PRODUCTO RENTABLE;16;180,00;95,00
FAC;000437;20/03/2026;C-06;P-003;PRODUCTO CON MARGEN BAJO;9;105,00;100,00
FAC;000438;20/03/2026;C-07;P-004;PRODUCTO POR AGOTARSE;13;160,00;105,00
FAC;000439;21/03/2026;C-08;P-001;PRODUCTO RENTABLE;4;180,00;95,00
FAC;000440;21/03/2026;C-09;P-003;PRODUCTO CON MARGEN BAJO;5;105,00;100,00
FAC;000441;21/03/2026;C-10;P-004;PRODUCTO POR AGOTARSE;11;160,00;105,00
FAC;000442;22/03/2026;C-11;P-001;PRODUCTO RENTABLE;3;180,00;95,00
FAC;000443;22/03/2026;C-12;P-003;PRODUCTO CON MARGEN BAJO;4;105,00;100,00
FAC;000444;22/03/2026;C-13;P-004;PRODUCTO POR AGOTARSE;9;160,00;105,00
FAC;000445;23/03/2026;C-14;P-001;PRODUCTO RENTABLE;5;180,00;95,00
FAC;000446;23/03/2026;C-15;P-003;PRODUCTO CON MARGEN BAJO;8;105,00;100,00
FAC;000447;23/03/2026;C-16;P-004;PRODUCTO POR AGOTARSE;8;160,00;105,00
FAC;000448;24/03/2026;C-17;P-001;PRODUCTO RENTABLE;6;180,00;95,00
FAC;000449;24/03/2026;C-18;P-003;PRODUCTO CON MARGEN BAJO;8;105,00;100,00
FAC;000450;24/03/2026;C-01;P-004;PRODUCTO POR AGOTARSE;9;160,00;105,00
FAC;000451;25/03/2026;C-02;P-001;PRODUCTO RENTABLE;6;180,00;95,00
FAC;000452;25/03/2026;C-03;P-003;PRODUCTO CON MARGEN BAJO;9;105,00;100,00
FAC;000453;25/03/2026;C-04;P-004;PRODUCTO POR AGOTARSE;10;160,00;105,00
FAC;000454;26/03/2026;C-05;P-001;PRODUCTO RENTABLE;7;180,00;95,00
FAC;000455;26/03/2026;C-06;P-003;PRODUCTO CON MARGEN BAJO;7;105,00;100,00
FAC;000456;26/03/2026;C-07;P-004;PRODUCTO POR AGOTARSE;11;160,00;105,00
FAC;000457;27/03/2026;C-08;P-001;PRODUCTO RENTABLE;9;180,00;95,00
FAC;000458;27/03/2026;C-09;P-003;PRODUCTO CON MARGEN BAJO;9;105,00;100,00
FAC;000459;27/03/2026;C-10;P-004;PRODUCTO POR AGOTARSE;13;160,00;105,00
FAC;000460;28/03/2026;C-11;P-001;PRODUCTO RENTABLE;4;180,00;95,00
FAC;000461;28/03/2026;C-12;P-002;PRODUCTO SOBREABASTECIDO;1;250,00;170,00
FAC;000462;28/03/2026;C-13;P-003;PRODUCTO CON MARGEN BAJO;5;105,00;100,00
FAC;000463;28/03/2026;C-14;P-004;PRODUCTO POR AGOTARSE;11;160,00;105,00
FAC;000464;29/03/2026;C-15;P-001;PRODUCTO RENTABLE;3;180,00;95,00
FAC;000465;29/03/2026;C-16;P-003;PRODUCTO CON MARGEN BAJO;4;105,00;100,00
FAC;000466;29/03/2026;C-17;P-004;PRODUCTO POR AGOTARSE;9;160,00;105,00
FAC;000467;30/03/2026;C-18;P-001;PRODUCTO RENTABLE;5;180,00;95,00
FAC;000468;30/03/2026;C-01;P-003;PRODUCTO CON MARGEN BAJO;8;105,00;100,00
FAC;000469;30/03/2026;C-02;P-004;PRODUCTO POR AGOTARSE;8;160,00;105,00
FAC;000470;31/03/2026;C-03;P-001;PRODUCTO RENTABLE;6;180,00;95,00
FAC;000471;31/03/2026;C-04;P-003;PRODUCTO CON MARGEN BAJO;8;105,00;100,00
FAC;000472;31/03/2026;C-05;P-004;PRODUCTO POR AGOTARSE;9;160,00;105,00
FAC;000473;01/04/2026;C-06;P-001;PRODUCTO RENTABLE;6;180,00;95,00
FAC;000474;01/04/2026;C-07;P-002;PRODUCTO SOBREABASTECIDO;2;250,00;170,00
FAC;000475;01/04/2026;C-08;P-003;PRODUCTO CON MARGEN BAJO;7;105,00;100,00
FAC;000476;01/04/2026;C-09;P-004;PRODUCTO POR AGOTARSE;10;160,00;105,00
FAC;000477;02/04/2026;C-10;P-001;PRODUCTO RENTABLE;7;180,00;95,00
FAC;000478;02/04/2026;C-11;P-003;PRODUCTO CON MARGEN BAJO;7;105,00;100,00
FAC;000479;02/04/2026;C-12;P-004;PRODUCTO POR AGOTARSE;11;160,00;105,00
FAC;000480;03/04/2026;C-13;P-001;PRODUCTO RENTABLE;9;180,00;95,00
N/C;000481;03/04/2026;C-14;P-003;PRODUCTO CON MARGEN BAJO;9;105,00;100,00
FAC;000482;03/04/2026;C-15;P-004;PRODUCTO POR AGOTARSE;13;160,00;105,00
FAC;000483;04/04/2026;C-16;P-001;PRODUCTO RENTABLE;4;180,00;95,00
FAC;000484;04/04/2026;C-17;P-003;PRODUCTO CON MARGEN BAJO;5;105,00;100,00
FAC;000485;04/04/2026;C-18;P-004;PRODUCTO POR AGOTARSE;11;160,00;105,00
PRE;000486;05/04/2026;C-01;P-001;PRODUCTO RENTABLE;10;180,00;95,00
FAC;000487;05/04/2026;C-02;P-003;PRODUCTO CON MARGEN BAJO;4;105,00;100,00
FAC;000488;05/04/2026;C-03;P-004;PRODUCTO POR AGOTARSE;9;160,00;105,00
FAC;000489;06/04/2026;C-04;P-001;PRODUCTO RENTABLE;5;180,00;95,00
FAC;000490;06/04/2026;C-05;P-003;PRODUCTO CON MARGEN BAJO;8;105,00;100,00
FAC;000491;06/04/2026;C-06;P-004;PRODUCTO POR AGOTARSE;8;160,00;105,00
FAC;000492;07/04/2026;C-07;P-001;PRODUCTO RENTABLE;6;180,00;95,00
FAC;000493;07/04/2026;C-08;P-003;PRODUCTO CON MARGEN BAJO;8;105,00;100,00
FAC;000494;07/04/2026;C-09;P-004;PRODUCTO POR AGOTARSE;9;160,00;105,00
FAC;000495;08/04/2026;C-10;P-001;PRODUCTO RENTABLE;6;180,00;95,00
FAC;000496;08/04/2026;C-11;P-003;PRODUCTO CON MARGEN BAJO;7;105,00;100,00
FAC;000497;08/04/2026;C-12;P-004;PRODUCTO POR AGOTARSE;10;160,00;105,00
FAC;000498;09/04/2026;C-13;P-001;PRODUCTO RENTABLE;7;180,00;95,00
FAC;000499;09/04/2026;C-14;P-003;PRODUCTO CON MARGEN BAJO;7;105,00;100,00
FAC;000500;09/04/2026;C-15;P-004;PRODUCTO POR AGOTARSE;11;160,00;105,00
FAC;000501;10/04/2026;C-16;P-001;PRODUCTO RENTABLE;9;180,00;95,00
FAC;000502;10/04/2026;C-17;P-002;PRODUCTO SOBREABASTECIDO;1;250,00;170,00
FAC;000503;10/04/2026;C-18;P-003;PRODUCTO CON MARGEN BAJO;11;105,00;100,00
FAC;000504;10/04/2026;C-01;P-004;PRODUCTO POR AGOTARSE;13;160,00;105,00
FAC;000505;11/04/2026;C-02;P-001;PRODUCTO RENTABLE;4;180,00;95,00
FAC;000506;11/04/2026;C-03;P-003;PRODUCTO CON MARGEN BAJO;5;105,00;100,00
FAC;000507;11/04/2026;C-04;P-004;PRODUCTO POR AGOTARSE;11;160,00;105,00
FAC;000508;12/04/2026;C-05;P-001;PRODUCTO RENTABLE;3;180,00;95,00
FAC;000509;12/04/2026;C-06;P-003;PRODUCTO CON MARGEN BAJO;4;105,00;100,00
FAC;000510;12/04/2026;C-07;P-004;PRODUCTO POR AGOTARSE;19;160,00;105,00
FAC;000511;13/04/2026;C-08;P-001;PRODUCTO RENTABLE;5;180,00;95,00
FAC;000512;13/04/2026;C-09;P-003;PRODUCTO CON MARGEN BAJO;8;105,00;100,00
FAC;000513;13/04/2026;C-10;P-004;PRODUCTO POR AGOTARSE;18;160,00;105,00
FAC;000514;14/04/2026;C-11;P-001;PRODUCTO RENTABLE;6;180,00;95,00
FAC;000515;14/04/2026;C-12;P-003;PRODUCTO CON MARGEN BAJO;8;105,00;100,00
FAC;000516;14/04/2026;C-13;P-004;PRODUCTO POR AGOTARSE;19;160,00;105,00
FAC;000517;15/04/2026;C-14;P-001;PRODUCTO RENTABLE;6;180,00;95,00
FAC;000518;15/04/2026;C-15;P-002;PRODUCTO SOBREABASTECIDO;2;250,00;170,00
FAC;000519;15/04/2026;C-16;P-003;PRODUCTO CON MARGEN BAJO;7;105,00;100,00
FAC;000520;15/04/2026;C-17;P-004;PRODUCTO POR AGOTARSE;10;160,00;105,00
FAC;000521;16/04/2026;C-18;P-001;PRODUCTO RENTABLE;7;180,00;95,00
FAC;000522;16/04/2026;C-01;P-003;PRODUCTO CON MARGEN BAJO;7;105,00;100,00
FAC;000523;16/04/2026;C-02;P-004;PRODUCTO POR AGOTARSE;11;160,00;105,00
FAC;000524;17/04/2026;C-03;P-001;PRODUCTO RENTABLE;9;180,00;95,00
FAC;000525;17/04/2026;C-04;P-003;PRODUCTO CON MARGEN BAJO;9;105,00;100,00
FAC;000526;17/04/2026;C-05;P-004;PRODUCTO POR AGOTARSE;13;160,00;105,00
FAC;000527;18/04/2026;C-06;P-001;PRODUCTO RENTABLE;4;180,00;95,00
FAC;000528;18/04/2026;C-07;P-003;PRODUCTO CON MARGEN BAJO;5;105,00;100,00
FAC;000529;18/04/2026;C-08;P-004;PRODUCTO POR AGOTARSE;11;160,00;105,00
FAC;000530;19/04/2026;C-09;P-001;PRODUCTO RENTABLE;3;180,00;95,00
FAC;000531;19/04/2026;C-10;P-003;PRODUCTO CON MARGEN BAJO;4;105,00;100,00
FAC;000532;19/04/2026;C-11;P-004;PRODUCTO POR AGOTARSE;9;160,00;105,00
FAC;000533;20/04/2026;C-12;P-001;PRODUCTO RENTABLE;13;180,00;95,00
FAC;000534;20/04/2026;C-13;P-003;PRODUCTO CON MARGEN BAJO;8;105,00;100,00
FAC;000535;20/04/2026;C-14;P-004;PRODUCTO POR AGOTARSE;9;160,00;105,00
FAC;000536;21/04/2026;C-15;P-001;PRODUCTO RENTABLE;7;180,00;95,00
FAC;000537;21/04/2026;C-16;P-003;PRODUCTO CON MARGEN BAJO;8;105,00;100,00
FAC;000538;21/04/2026;C-17;P-004;PRODUCTO POR AGOTARSE;10;160,00;105,00
FAC;000539;22/04/2026;C-18;P-001;PRODUCTO RENTABLE;7;180,00;95,00
FAC;000540;22/04/2026;C-01;P-003;PRODUCTO CON MARGEN BAJO;7;105,00;100,00
N/C;000541;22/04/2026;C-02;P-004;PRODUCTO POR AGOTARSE;11;160,00;105,00
FAC;000542;23/04/2026;C-03;P-001;PRODUCTO RENTABLE;8;180,00;95,00
FAC;000543;23/04/2026;C-04;P-002;PRODUCTO SOBREABASTECIDO;1;250,00;170,00
FAC;000544;23/04/2026;C-05;P-003;PRODUCTO CON MARGEN BAJO;7;105,00;100,00
FAC;000545;23/04/2026;C-06;P-004;PRODUCTO POR AGOTARSE;12;160,00;105,00
FAC;000546;24/04/2026;C-07;P-001;PRODUCTO RENTABLE;10;180,00;95,00
FAC;000547;24/04/2026;C-08;P-003;PRODUCTO CON MARGEN BAJO;9;105,00;100,00
FAC;000548;24/04/2026;C-09;P-004;PRODUCTO POR AGOTARSE;14;160,00;105,00
FAC;000549;25/04/2026;C-10;P-001;PRODUCTO RENTABLE;5;180,00;95,00
FAC;000550;25/04/2026;C-11;P-003;PRODUCTO CON MARGEN BAJO;7;105,00;100,00
FAC;000551;25/04/2026;C-12;P-004;PRODUCTO POR AGOTARSE;12;160,00;105,00
FAC;000552;26/04/2026;C-13;P-001;PRODUCTO RENTABLE;4;180,00;95,00
FAC;000553;26/04/2026;C-14;P-003;PRODUCTO CON MARGEN BAJO;4;105,00;100,00
FAC;000554;26/04/2026;C-15;P-004;PRODUCTO POR AGOTARSE;10;160,00;105,00
FAC;000555;27/04/2026;C-16;P-001;PRODUCTO RENTABLE;6;180,00;95,00
FAC;000556;27/04/2026;C-17;P-003;PRODUCTO CON MARGEN BAJO;8;105,00;100,00
FAC;000557;27/04/2026;C-18;P-004;PRODUCTO POR AGOTARSE;9;160,00;105,00
FAC;000558;28/04/2026;C-01;P-001;PRODUCTO RENTABLE;7;180,00;95,00
FAC;000559;28/04/2026;C-02;P-003;PRODUCTO CON MARGEN BAJO;8;105,00;100,00
